Top_libro,Titulo,Autor,Precio_mxn
90,LA ODISEA,HOMERO,110.0
91,ETICA Y EMPRESA: VALORES Y...,JUAN JOSE GILLI,305.0
92,NORMAS DE INFORMACION...,I.M.C.P.,810.0
93,EL MAESTRO IGNORANTE (NUEVA...,JACQUES RANCIERE,492.0
94,AGENDA PENAL DEL ESTADO DE...,SIN AUTOR,530.0
95,LAS AVENTURAS DE ROBIN HOOD...,WALTER SCOTT,39.0
96,DE LA TIERRA A LA LUNA...,JULIO VERNE,39.0
97,ORGULLO Y PREJUICIO (INFANTIL),JANE AUSTEN,39.0
98,LAS MIL Y UNA NOCHES...,ANONIMO,39.0
99,MUJERCITAS (INFANTIL),LOUISA MAY ALCOTT,39.0
100,ARSENE LUPIN: CABALLERO...,MAURICE LEBLANC,39.0
